5	0	0	0	0	0	0	0	0
0.1	0	0	0	0	0	0	0	0
0.1	2	2	2	2	0	0	0	0
0.1	4	4	4	4	0	0	0	0
0.1	6	6	6	6	0	0	0	0
0.1	8	8	8	8	0	0	0	0
0.1	10	10	10	10	0	0	0	0
0.1	12	12	12	12	0	0	0	0
0.1	14	14	14	14	0	0	0	0
0.1	16	16	16	16	0	0	0	0
0.1	18	18	18	18	0	0	0	0
0.1	20	20	20	20	0	0	0	0
0.1	22	22	22	22	0	0	0	0
0.1	24	24	24	24	0	0	0	0
0.1	26	26	26	26	0	0	0	0
0.1	28	28	28	28	0	0	0	0
0.1	30	30	30	30	0	0	0	0
0.1	32	32	32	32	0	0	0	0
0.1	34	34	34	34	0	0	0	0
0.1	36	36	36	36	0	0	0	0
0.1	38	38	38	38	0	0	0	0
0.1	40	40	40	40	0	0	0	0
0.1	42	42	42	42	0	0	0	0
0.1	44	44	44	44	0	0	0	0
0.1	46	46	46	46	0	0	0	0
0.1	48	48	48	48	0	0	0	0
0.1	50	50	50	50	0	0	0	0
0.1	52	52	52	52	0	0	0	0
0.1	54	54	54	54	0	0	0	0
0.1	56	56	56	56	0	0	0	0
0.1	58	58	58	58	0	0	0	0
0.1	60	60	60	60	0	0	0	0
0.1	62	62	62	62	0	0	0	0
0.1	64	64	64	64	0	0	0	0
0.1	66	66	66	66	0	0	0	0
0.1	68	68	68	68	0	0	0	0
0.1	70	70	70	70	0	0	0	0
0.1	72	72	72	72	0	0	0	0
0.1	74	74	74	74	0	0	0	0
0.1	76	76	76	76	0	0	0	0
0.1	78	78	78	78	0	0	0	0
0.1	80	80	80	80	0	0	0	0
0.1	82	82	82	82	0	0	0	0
0.1	84	84	84	84	0	0	0	0
0.1	86	86	86	86	0	0	0	0
0.1	88	88	88	88	0	0	0	0
0.1	90	90	90	90	0	0	0	0
0.1	92	92	92	92	0	0	0	0
0.1	94	94	94	94	0	0	0	0
0.1	96	96	96	96	0	0	0	0
0.1	94	94	94	94	1	1	1	1
0.1	92	92	92	92	2	2	2	2
0.1	90	90	90	90	3	3	3	3
0.1	88	88	88	88	4	4	4	4
0.1	86	86	86	86	5	5	5	5
0.1	84	84	84	84	6	6	6	6
0.1	82	82	82	82	7	7	7	7
0.1	80	80	80	80	8	8	8	8
0.1	78	78	78	78	9	9	9	9
0.1	76	76	76	76	10	10	10	10
0.1	74	74	74	74	11	11	11	11
0.1	72	72	72	72	12	12	12	12
0.1	70	70	70	70	13	13	13	13
0.1	68	68	68	68	14	14	14	14
0.1	66	66	66	66	15	15	15	15
0.1	64	64	64	64	16	16	16	16
0.1	62	62	62	62	17	17	17	17
0.1	60	60	60	60	18	18	18	18
0.1	58	58	58	58	19	19	19	19
0.1	56	56	56	56	20	20	20	20
0.1	54	54	54	54	21	21	21	21
0.1	52	52	52	52	22	22	22	22
0.1	50	50	50	50	23	23	23	23
0.1	48	48	48	48	24	24	24	24
0.1	46	46	46	46	25	25	25	25
0.1	44	44	44	44	24	24	24	24
0.1	42	42	42	42	23	23	23	23
0.1	40	40	40	40	22	22	22	22
0.1	38	38	38	38	21	21	21	21
0.1	36	36	36	36	20	20	20	20
0.1	34	34	34	34	19	19	19	19
0.1	32	32	32	32	18	18	18	18
0.1	30	30	30	30	17	17	17	17
0.1	28	28	28	28	16	16	16	16
0.1	26	26	26	26	15	15	15	15
0.1	24	24	24	24	14	14	14	14
0.1	22	22	22	22	13	13	13	13
0.1	20	20	20	20	12	12	12	12
0.1	18	18	18	18	11	11	11	11
0.1	16	16	16	16	10	10	10	10
0.1	14	14	14	14	9	9	9	9
0.1	12	12	12	12	8	8	8	8
0.1	10	10	10	10	7	7	7	7
0.1	8	8	8	8	6	6	6	6
0.1	6	6	6	6	5	5	5	5
0.1	4	4	4	4	4	4	4	4
0.1	2	2	2	2	3	3	3	3
0.1	0	0	0	0	2	2	2	2
0.1	0	0	0	0	1	1	1	1
0.1	0	0	0	0	0	0	0	0
